total_output_power,pa1,pa2,pa3
694.64,224.18,226.79,226.13
694.99,225.35,225.72,226.05
695.31,224.31,226.44,225.93
694.92,225.26,226.45,226.09
694.09,225.04,226.88,224.65
696.29,224.94,226.45,226.79
694.57,224.96,227.18,224.94
693.71,225.02,226.8,224.81
694.37,224.19,227.1,225.54
694.04,224.55,226.77,224.72
694.93,225.32,226.7,224.53
694.62,224.68,226.95,224.56
694.55,224.79,226.73,225.09
694.88,224.98,226.78,225.99
695.12,225.56,226.8,225.73
693.76,224.57,227.2,225.65
693.09,224.07,226.88,224.69
694.57,224.34,227.07,224.48
694.9,224.07,228.29,225.46
693.59,224.56,225.99,225.63
693.92,225.13,226.94,224.66
695.79,225.35,226.77,226.87
695.71,225.15,227.42,224.92
695.32,225.1,226.78,225.22
693.78,224.21,226.68,224.63
693.98,224.32,226.47,224.54
694.73,225.31,226.67,224.87
696.64,225.13,226.47,226.61
695.27,224.23,226.03,225.37
693.81,224.13,225.8,225.19
695.02,224.71,226.49,225.9
694.08,224.6,226.12,226.11
693.82,224.6,226.59,226.1
692.96,224.39,226.23,225.88
692.5,224.85,226.64,224.53
693.99,225,226.74,225.42
694.91,224.59,226.94,225.29
693.98,224.51,226.86,225.41
694.97,224.89,226.89,224.91
694.45,224.81,227.08,225.64
694.36,224.16,226.27,226.17
696.67,225.15,225.5,227.23
696.28,225.7,226.79,227.22
694.28,225.95,226.52,225.4
693.84,224.98,226.09,224.6
692.77,225.45,226.14,224.92
694.04,225.73,226.77,225.3
692.83,223.52,226.53,225.51
694.2,225.11,226.67,225.72
693.62,224.49,226.49,224.75
695.41,224.87,226.56,224.84
695.07,225.42,226.07,225.18
694.13,225.42,225.85,225.29
692.11,224.57,225.42,225.53
695.7,225.22,226.45,225.93
693.65,224.55,226.28,225.59
694.04,225.02,225.9,226.03
694.24,225.35,226.04,225.61
694.09,225.09,225.67,226.14
693.47,224.52,226.09,226.14
694.37,224.18,226.57,226.46
693.76,224.24,225.76,226.06
694.73,224.26,225.64,226.02
694.6,224.36,226.93,226.41
695.02,224.76,226.94,226.16
694.27,224.31,226.99,226.37
695.01,225.56,227.46,226.75
693.13,224.19,227.15,226.85
690.86,224.69,225.19,226.04
692.81,224.79,225.46,226.47
693.67,225.41,225.66,226.47
693.75,225.23,225.67,226.15
695.07,225.44,225.23,226.36
692.04,224.78,225.01,225.59
695.85,225.08,226.41,226.59
695.34,224.07,226.81,225.84
695.69,224.88,226.97,225.7
694.47,223.36,226.9,225.61
693.91,224.29,226.82,225.38
692.78,224.39,226.51,225.38
694.59,224.68,227.09,225.24
692.77,224.41,226.88,224.69
694.75,224.09,226.99,224.69
693.38,225.01,226.03,224.78
694.38,224.86,226.32,226.24
693.38,224.41,225.85,226.57
692.24,223.45,225.1,226.78
692.32,224.55,225.49,226.11
692.05,223.84,225.64,224.78
695.27,224.53,226.88,226.14
694.7,224.17,227.09,225.97
693.77,223.5,226.15,225.67
695.96,224.46,226.68,225.59
694.65,225.04,226.68,225.47
693.81,224.41,226.79,225.61
694.01,224.22,227.06,226.22
695.02,224.45,227.28,226.16
697.04,224.23,227.31,226.16
696,224.74,227.2,225.91
694.34,225.1,227.1,224.97
694.16,224.75,226.79,225.27
694.74,225.25,226.76,225.66
693.55,224.31,226.95,226.03
695.28,225.39,226.57,226.24
694.12,225.16,226.47,225.3
